Input Sentence,Translation
"""For shame! for shame!"" cried the lady's-maid.","""Per vergogna, per vergogna!"" gridò la damigella."
"""What shocking conduct, Miss Eyre, to strike a young gentleman, your benefactress's son!","""Che comportamento scioccante, signorina Eyre, colpire un giovane gentiluomo, il figlio della sua benefattrice!"
"Your young master.""","Il tuo giovane padrone."""
"""Master!","""Maestro!"
"How is he my master? Am I a servant?""","Come è il mio padrone? Sono un servo?"""
"""No; you are less than a servant, for you do nothing for your keep.","""No, tu sei meno di un servo, perché non fai nulla per il tuo mantenimento."
"There, sit down, and think over your wickedness.""","Ecco, siediti e pensa alla tua malvagità."""
"They had got me by this time into the apartment indicated by Mrs. Reed, and had thrust me upon a stool: my impulse was to rise from it like a spring; their two pair of hands arrested me instantly.","Mi avevano già fatto entrare nell'appartamento indicato dalla signora Reed, e mi avevano spinto su uno sgabello: il mio impulso era quello di sollevarmi da esso come una molla; le loro due coppie di mani mi hanno"
"""If you don't sit still, you must be tied down,"" said Bessie.","""Se non ti siedi ancora, devi essere legato,"" ha detto Bessie."
"""Miss Abbot, lend me your garters; she would break mine directly.""","""Signorina Abate, prestami le vostre giarrettiere, lei mi spezzerebbe direttamente."""
Miss Abbot turned to divest a stout leg of the necessary ligature.,La signorina Abbot si e' rivolta a cedere una robusta gamba della legatura necessaria.
"This preparation for bonds, and the additional ignominy it inferred, took a little of the excitement out of me.","Questa preparazione per i legami, e l'ignominia supplementare che ha dedotto, mi ha tolto un po' di eccitazione."
"""Don't take them off,"" I cried; ""I will not stir.""","""Non toglierli,"" ho gridato, ""non mi agiterò."""
"In guarantee whereof, I attached myself to my seat by my hands.","In garanzia di che, mi sono attaccato al mio posto per mano."
"""Mind you don't,"" said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.","""Mente non lo fai,"" disse Bessie; e quando aveva accertato che stavo davvero subendo, ha allentato la sua presa di me; allora lei e la signorina Abate stava con le braccia piegate"
"""She never did so before,"" at last said Bessie, turning to the Abigail.","""Non l'ha mai fatto prima,"" disse finalmente Bessie, rivolgendosi all'Abigail."
"""But it was always in her,"" was the reply. ""I've told Missis often my opinion about the child, and Missis agreed with me. She's an underhand little thing: I never saw a girl of her age with so much cover.""","""Ma è sempre stato in lei,"" è stata la risposta. ""Ho detto Missis spesso la mia opinione sul bambino, e Missis è d'accordo con me. Lei è una piccola cosa: non ho mai visto"
"Bessie answered not; but ere long, addressing me, she said--""You ought to be aware, Miss, that you are under obligations to Mrs. Reed: she keeps you: if she were to turn you off, you would have to go to the poorhouse.""","Bessie non ha risposto; ma ancora a lungo, rivolgendosi a me, ha detto - ""Dovete essere consapevoli, signorina, che siete sotto gli obblighi verso la signora Reed: lei vi mantiene: se dovesse spegne"
I had nothing to say to these words: they were not new to me: my very first recollections of existence included hints of the same kind.,Non avevo nulla da dire a queste parole: non erano nuove per me: i miei primi ricordi di esistenza includevano accenni dello stesso genere.
"This reproach of my dependence had become a vague sing-song in my ear: very painful and crushing, but only half intelligible.","Questo rimprovero della mia dipendenza era diventato un vago canto nell'orecchio: molto doloroso e schiacciante, ma solo metà intelligibile."
